Id;SlokaId;Text;Translation
1;1;дхр̣тара̄ш̣т̣рах̣ ува̄ча;Дхр̣тара̄ш̣т̣ра сказал
2;1;дхарма-кш̣етре куру-кш̣етре;на священной земле Курукш̣етры
3;1;самавета̄х̣;сошлись
4;1;йуйутсавах̣;желая сразиться
5;1;ма̄ма-ка̄х̣;мои сыновья
6;1;па̄н̣д̣ава̄х̣ ча;и сыновья Па̄н̣д̣у
7;1;эва;затем
8;1;ким;что
9;1;акурвата;сделали
10;1;сан̃джайа;Сан̃джайа
11;2;сан̃джайа ува̄ча;Сан̃джайа сказал
12;2;др̣ш̣т̣ва̄;увидев
13;2;ту;итак
14;2;па̄н̣д̣ава-анӣкам;войска Па̄н̣д̣авов
15;2;вйӯд̣хам̇;построенных
16;2;дурйодханах̣;Дурйодхана
17;2;тада̄;тогда
18;2;а̄ча̄рйам;к учителю
19;2;упасан̇гамйа;приблизившись
20;2;ра̄джа̄;царь
21;2;вачанам;такие слова
22;2;абравӣт;произнес
23;3;паш́йа;взгляни
24;3;эта̄м;на эту
25;3;па̄н̣д̣у-путра̄н̣а̄м;сыновей Па̄н̣д̣у
26;3;а̄ча̄рйа;достопочтенный учитель
27;3;махатӣм;великую
28;3;чамӯм;армию
29;3;вйӯд̣ха̄м;выстроенную
30;3;друпада-путрен̣а;Дхр̣ш̣т̣адйумной, сыном Друпады
31;3;тава;твоим
32;3;ш́иш̣йен̣а;учеником
33;3;дхӣ-ма̄та̄;разумным
34;4;атра;здесь
35;4;ш́ӯра̄х̣;герои
36;4;маха̄-иш̣в-а̄cа̄х̣;великие лучники
37;4;бхӣма-арджуна-сама̄х̣;равные Бхӣме и Арджуне
38;4;йудхи;в битве
39;4;йуйудха̄нах̣;Са̄тйаки
40;4;вира̄т̣ах̣;царь Вира̄т̣а
41;4;ча;и
42;4;друпадах̣ ча маха̄-ратхах̣;и великий воин Друпада
43;4;дхр̣ш̣т̣акетух̣;Дхр̣ш̣т̣акету
44;4;чекита̄нах̣;царь Чекита̄на
45;4;ка̄ш́и-ра̄джах̣ ча вӣрйава̄н;и царь Ка̄ш́и, могучий герой
46;4;пуруджит;Пуруджит
47;4;кунтибходжах̣ ча;и Кунтибходжа
48;4;ш́аибйах̣ ча нара-пун̇гавах̣;и царь Ш́аибйа, благороднейший из людей
49;4;йудха̄манйух̣ ча викра̄нтах̣;и доблестный Йудха̄манйу
50;4;уттамауджа̄х̣ ча вӣрйава̄н;и могущественный Уттамауджа̄
51;4;саубхадрах̣;Абхиманйу, сын Субхадры
52;4;драупадейа̄х̣ ча;и сыновья Драупадӣ
53;4;сарва;все они
54;4;эва;несомненно
55;4;маха̄-ратха̄х̣;великие воины
56;5;асма̄кам;наши
57;5;ту;также
58;5;виш́иш̣т̣а̄х̣;выдающиеся
59;5;йе;которые
60;5;та̄н;о тех
61;5;нибодха;узнай
62;5;двиджа-уттама;о лучший из дваждырожденных
63;5;на̄йака̄х̣;полководцах
64;5;мама;моей
65;5;саинйасйа;армии
66;5;сам̇джн̃а̄-артхам;ради ясного понимания
67;5;та̄н;их имена
68;5;бравӣми;я назову
69;5;те;тебе
70;6;бхава̄н;о почтенный
71;6;бхӣш̣мах̣ ча;также Бхӣш̣ма
72;6;карн̣ах̣ ча;и Карн̣а
73;6;кр̣пах̣ ча самитин̃джайах̣;и непобедимый Кр̣па
74;6;аш́ваттха̄ма̄;Аш́ваттха̄ма̄
75;6;викарн̣ах̣ ча;и Викарн̣а
76;6;саумадаттих̣;Бхӯриш́рава̄
77;6;джайадратхах̣;Джайадратха
78;6;анйе;другие
79;6;ча;также
80;6;бахавах̣;многие
81;6;ш́ӯра̄;воины
82;6;мад-артхе;ради меня
83;6;тйакта-джӣвита̄х̣;готовые пожертвовать жизнью
84;6;на̄на̄-ш́астра;различным оружием
85;6;прахаран̣а̄х̣;вооруженные
86;6;сарве;все они
87;6;йуддха;в бою
88;6;виш́а̄рада̄х̣;искусные
89;7;апарйа̄птам;безграничны
90;7;тат;эти
91;7;асма̄кам;наши
92;7;балам;силы
93;7;бхӣш̣ма-абхиракш̣итам;благодаря защите опытного Бхӣш̣мы (а также потому, что Кр̣ш̣н̣а отдал Свою армию Кауравам)
94;7;парйа̄птам;ограничены
95;7;ту;но
96;7;идам;все эти
97;7;этеш̣aм;этих Па̄н̣д̣авов
98;7;балам;силы
99;7;бхӣма-абхи-ракш̣итам;защищаемые менее опытным Бхӣмой
100;8;айанеш̣у ча сарвеш̣у;во всех стратегических местах боевого построения
101;8;йатха̄-бха̄гам;каждый на своей позиции
102;8;ава-стхита̄х̣;находясь
103;8;бхӣш̣мам;Бхӣш̣му
104;8;эва;прежде всего
105;8;абхи-ракш̣анту;должны защищать
106;8;бхавантах̣;быть
107;8;сарве;все сообща
108;8;эва хи;непременно
109;9;тасйа;его
110;9;сан̃джанайан;вызывая
111;9;харш̣ам;радость
112;9;куру-вр̣ддхах;старейшина династии Куру
113;9;пита̄махах̣;прадед Бхӣш̣ма
114;9;сим̇ха-на̄дам;подобный львиному рыку
115;9;винадйа;издавая звук
116;9;уччаих̣;невероятно громкий
117;9;ш́ан̇кхам;в раковину
118;9;дадхмау;подул
119;9;прата̄па-ва̄н;могущественный
120;10;татах̣;затем
121;10;ш́анкха̄х̣;раковины
122;10;ча;и
123;10;бхерйах̣;большие барабаны
124;10;ча;также
